year,region,week,production_tons
1984,West_Virginia,12,2960641
1984,Western,12,4704164
1984,Wyoming,12,2409605
1984,Alabama,13,512925
1984,Alaska,13,19187
1984,Appalachia,13,9769245
1984,Arizona,13,282700
1984,Arkansas,13,1466
1984,Colorado,13,404180
1984,East of Mississippi,13,12581138
1984,Georgia,13,4877
1984,Illinois,13,1315113
1984,Indiana,13,749317
1984,Interior,13,3922979
1984,Iowa,13,10489
1984,Kansas,13,25225
1984,Kentucky-East,13,2413990
1984,Kentucky-Total,13,3161453
1984,Kentucky-West,13,747463
1984,Maryland,13,107830
1984,Missouri,13,134871
1984,Montana,13,647673
1984,New_Mexico,13,505967
1984,North_Dakota,13,419547
1984,Ohio,13,904638
1984,Oklahoma,13,73068
1984,Penn-Anthracite,13,67238
1984,Penn-Bituminous,13,1837790
1984,Penn-Total,13,1905028
1984,Tennessee,13,134899
1984,Texas,13,865967
1984,US Total,13,18854420
1984,Utah,13,302443
1984,Virginia,13,790464
1984,Washington,13,86656
1984,West of Mississippi,13,6273282
1984,West_Virginia,13,2994594
1984,Western,13,5162196
1984,Wyoming,13,2493843
1984,Alabama,14,522120
1984,Alaska,14,14610
1984,Appalachia,14,8780900
1984,Arizona,14,239674
1984,Arkansas,14,2193
1984,Colorado,14,373588
1984,East of Mississippi,14,11383076
1984,Georgia,14,3325
1984,Illinois,14,1192459
1984,Indiana,14,676717
1984,Interior,14,3604625
1984,Iowa,14,8485
1984,Kansas,14,29486
1984,Kentucky-East,14,2303381
1984,Kentucky-Total,14,3036381
1984,Kentucky-West,14,733000
1984,Maryland,14,79314
1984,Missouri,14,118673
1984,Montana,14,550968
1984,New_Mexico,14,318828
1984,North_Dakota,14,347715
1984,Ohio,14,740413
1984,Oklahoma,14,100070
1984,Penn-Anthracite,14,56122
1984,Penn-Bituminous,14,1473326
1984,Penn-Total,14,1529448
1984,Tennessee,14,139141
1984,Texas,14,743542
1984,US Total,14,16996711
1984,Utah,14,248087
1984,Virginia,14,782343
1984,Washington,14,73821
1984,West of Mississippi,14,5613635
1984,West_Virginia,14,2681415
1984,Western,14,4611186
1984,Wyoming,14,2443895
1984,Alabama,15,514378
1984,Alaska,15,15467
1984,Appalachia,15,9537849
1984,Arizona,15,253732
1984,Arkansas,15,2055
1984,Colorado,15,396404
1984,East of Mississippi,15,12218018
1984,Georgia,15,3520
1984,Illinois,15,1161215
1984,Indiana,15,687279
1984,Interior,15,3742096
1984,Iowa,15,8982
1984,Kansas,15,29110
1984,Kentucky-East,15,2613458
1984,Kentucky-Total,15,3445133
1984,Kentucky-West,15,831675
1984,Maryland,15,78348
1984,Missouri,15,136433
1984,Montana,15,543952
1984,New_Mexico,15,383127
1984,North_Dakota,15,343651
1984,Ohio,15,762122
1984,Oklahoma,15,98194
1984,Penn-Anthracite,15,59414
1984,Penn-Bituminous,15,1470459
1984,Penn-Total,15,1529873
1984,Tennessee,15,133740
1984,Texas,15,787153
1984,US Total,15,17988634
1984,Utah,15,262440
1984,Virginia,15,908644
1984,Washington,15,78151
1984,West of Mississippi,15,5770616
1984,West_Virginia,15,2993766
1984,Western,15,4708689
1984,Wyoming,15,2431765
1984,Alabama,16,563301
1984,Alaska,16,15591
1984,Appalachia,16,9671704
1984,Arizona,16,255756
1984,Arkansas,16,2349
1984,Colorado,16,379361
1984,East of Mississippi,16,12479103
1984,Georgia,16,3548
1984,Illinois,16,1261422
1984,Indiana,16,725358
1984,Interior,16,3881131
1984,Iowa,16,9054
1984,Kansas,16,28799
1984,Kentucky-East,16,2578715
1984,Kentucky-Total,16,3399334
1984,Kentucky-West,16,820619
1984,Maryland,16,81851
1984,Missouri,16,141223
1984,Montana,16,538132
1984,New_Mexico,16,360129
1984,North_Dakota,16,343899
1984,Ohio,16,787067
1984,Oklahoma,16,98876
1984,Penn-Anthracite,16,59888
1984,Penn-Bituminous,16,1548936
1984,Penn-Total,16,1608824
1984,Tennessee,16,149833
1984,Texas,16,793431
1984,US Total,16,18157137
1984,Utah,16,249364
1984,Virginia,16,930891
1984,Washington,16,78774
1984,West of Mississippi,16,5678034
1984,West_Virginia,16,2967674
1984,Western,16,4604302
1984,Wyoming,16,2383296
1984,Alabama,17,544795
1984,Alaska,17,14009
1984,Appalachia,17,9639151
1984,Arizona,17,229801
1984,Arkansas,17,1806
1984,Colorado,17,365558
1984,East of Mississippi,17,12251978
1984,Georgia,17,3189
1984,Illinois,17,1073256
1984,Indiana,17,716686
1984,Interior,17,3526900
1984,Iowa,17,8135
1984,Kansas,17,15243
1984,Kentucky-East,17,2585836
1984,Kentucky-Total,17,3408721
1984,Kentucky-West,17,822885
1984,Maryland,17,88606
1984,Missouri,17,120561
1984,Montana,17,284818
1984,New_Mexico,17,420231
1984,North_Dakota,17,197690
1984,Ohio,17,780241
1984,Oklahoma,17,55417
1984,Penn-Anthracite,17,53811
1984,Penn-Bituminous,17,1533807
1984,Penn-Total,17,1587618
1984,Tennessee,17,145187
1984,Texas,17,712911
1984,US Total,17,16355600
1984,Utah,17,238724
1984,Virginia,17,858964
1984,Washington,17,70779
1984,West of Mississippi,17,4103622
1984,West_Virginia,17,3044715
1984,Western,17,3189549
1984,Wyoming,17,1367939
1984,Alabama,18,519713
1984,Alaska,18,15136
1984,Appalachia,18,9651616
1984,Arizona,18,248285
1984,Arkansas,18,2563
1984,Colorado,18,415635
1984,East of Mississippi,18,12508385
1984,Georgia,18,3445
1984,Illinois,18,1352053
1984,Indiana,18,699437
1984,Interior,18,3862731
1984,Iowa,18,8790
1984,Kansas,18,24165
1984,Kentucky-East,18,2530515
1984,Kentucky-Total,18,3335794
1984,Kentucky-West,18,805279
1984,Maryland,18,96414
1984,Missouri,18,113978
1984,Montana,18,451542
1984,New_Mexico,18,362070
1984,North_Dakota,18,285597
1984,Ohio,18,801828
1984,Oklahoma,18,86211
1984,Penn-Anthracite,18,81062
1984,Penn-Bituminous,18,1677365
1984,Penn-Total,18,1758427
1984,Tennessee,18,137017
